id,title,state,created_at,closed_at,days_to_close,labels,is_bug,risk_score,comment_count,assignees,body_length,risk_score_v2,is_bug_v2
29674,[rom] Remove symbol for chip_info_size and turn it into an autogenerated #define,open,2026-04-05 12:38:55+00:00,,,,False,0,0,0,401,0,False
29649,[RFC] Optimizing CI Runner Utilization,open,2026-04-01 10:47:05+00:00,,,RFC:Proposal|Component:CI,False,0,8,0,2738,0,False
29648,[alert_handler] prim_alert_sender ignores a ping that arrives very shortly after the previous one,open,2026-04-01 10:22:35+00:00,,,IP:alert_handler,False,0,3,0,4226,0,False
29624,[spi_device] Flash Payload Buffer size,open,2026-03-30 15:00:17+00:00,,,,False,0,0,2,306,0,False
29623,[spi_device] Consider the addition of a CSb interrupt,open,2026-03-30 14:28:09+00:00,,,,False,0,2,2,304,0,False
29613,[dv] reports.opentitan.org RTL coverage results are stale since Feb 2025,open,2026-03-28 19:48:57+00:00,,,,False,0,0,0,1054,0,False
29563,Verified Ownership Entity ,closed,2026-03-24 19:12:33+00:00,2026-03-24 19:12:59+00:00,0.0,,False,0,1,0,148,0,False
29555,[rv_dm] OpenOCD fails to halt the cpu through JTAG,open,2026-03-23 16:12:14+00:00,,,,False,0,6,1,3120,1,False
29525,[build] verilator 4.210 fails with uart_smoketest_sim_verilator,open,2026-03-21 05:20:56+00:00,,,,False,0,2,0,5603,1,False
29496,"[otbn,rtl] Clean up use of `mac_en_i` in bignum MAC",closed,2026-03-18 11:29:00+00:00,2026-03-27 07:25:29+00:00,8.0,IP:otbn,False,0,1,1,1525,0,False
29495,"[otbn,dv] Fix CTRL_REDUN tests targeting bignum MAC",open,2026-03-18 11:13:23+00:00,,,IP:otbn,False,0,1,0,2605,0,False
29490,[ci] USB problems in CI,open,2026-03-17 17:42:00+00:00,,,,False,0,0,0,557,0,False
29485,[rfc] Optimize shadow registers,closed,2026-03-16 21:15:14+00:00,2026-03-26 13:31:50+00:00,9.0,RFC:Approved,False,0,2,1,365,0,False
29482,[spi_host] SPI / QSPI direct mapped mode,open,2026-03-16 11:26:08+00:00,,,,False,0,1,0,628,0,False
29465,"[otbn,dv] Complete the coverage for OTBN's SIMD instruction",open,2026-03-13 12:19:34+00:00,,,IP:otbn,False,0,0,1,478,0,False
29458,[i2c] External inputs being used without synchronisation,closed,2026-03-12 11:20:40+00:00,2026-04-27 14:26:04+00:00,46.0,IP:i2c,False,0,1,0,1325,0,False
29445,[dma] Clearing error code by writing to the status.error field seems to be one cycle delayed?,open,2026-03-11 22:00:09+00:00,,,,False,0,0,0,1418,1,False
29432,[Perso] Update perso TLV definitions from OpenTitan Provisioning repo,open,2026-03-11 00:31:58+00:00,,,,False,0,0,0,475,0,False
29415,[component] How to get a file list for vcs and Verdi?,open,2026-03-09 03:17:12+00:00,,,,False,0,3,0,1040,0,False
29413,"[pwrmgr,sva] The pwrmgr_sec_cm_checker_assert module is not bound in correctly.",closed,2026-03-07 19:10:41+00:00,2026-04-07 17:21:06+00:00,30.0,Component:DV|IP:pwrmgr,True,0,0,0,718,1,False
29412,[rom_ext] Decrease size of rom_ext_emulation_cwt,closed,2026-03-06 17:19:08+00:00,2026-04-15 15:43:24+00:00,39.0,,False,0,0,0,311,0,False
29408,[dma] bug on src and dst address increasing when in AddrNoIncrement mode,closed,2026-03-05 18:02:00+00:00,2026-03-05 21:52:05+00:00,0.0,,False,0,1,0,460,0,False
29381,"[fpv, rv_timer]  add fpv assertions to rv_timer_core_assert_fpv and rv_timer_interrupts_assert_fpv",open,2026-03-01 18:43:10+00:00,,,,False,0,2,0,219,0,False
29364,"[bazel] Rename execution environment to drop the ""_with_fake_keys"" suffix",open,2026-02-25 16:39:29+00:00,,,,False,0,0,2,153,0,False
29331,"[otbn, masking] DV for masking interface implementation",closed,2026-02-17 13:14:45+00:00,2026-03-13 13:12:16+00:00,23.0,IP:otbn,False,0,0,0,96,0,False
29309,"[Doc] Can't find ""Integrated OpenTitan: Design for Test and Debug Suppor"" in the documentaion",open,2026-02-14 10:42:02+00:00,,,,False,0,0,0,284,0,False
29283,[ci] Inconsistent CI gates,open,2026-02-09 11:32:18+00:00,,,Component:CI,False,0,0,1,589,0,False
29271,[prim] Add and use a prim_const_buf and prim_const_sec_anchor_buf primitive cells,closed,2026-02-06 12:48:50+00:00,2026-03-20 13:40:55+00:00,42.0,Component:RTL|Component:DD,False,0,8,2,1308,1,False
29242,[otbn] standalone RTL simulation,closed,2026-02-04 06:10:33+00:00,2026-02-04 06:21:15+00:00,0.0,,False,0,1,0,459,0,False
29241,[SYNTHESIS] May remove xilinx primitive from general filelist？,open,2026-02-04 02:13:33+00:00,,,,False,0,1,0,929,0,False
29233,"[otbn, dv] otbn_ctrl_redun test fails because of assertions",open,2026-02-02 17:45:19+00:00,,,Component:DV|IP:otbn,True,0,0,0,1364,2,False
29205,"[test-triage,Entropy_SRC]",closed,2026-01-29 03:11:21+00:00,2026-01-29 03:33:40+00:00,0.0,Component:TestTriage,False,0,1,0,1250,0,False
29198,dv_report_catcher,open,2026-01-28 08:52:17+00:00,,,,False,0,1,0,675,0,False
29193,Setting up snapshot-20191101-1,open,2026-01-27 18:41:13+00:00,,,,False,0,5,0,229,0,False
29171,Guidance Request: understanding OpenTitan flows and using commercial tools,open,2026-01-25 22:58:52+00:00,,,,False,0,1,0,1963,0,False
29170,"[alert,rtl] The `skew_cnt_q` signal is bigger than needed in prim_diff_decode.sv",open,2026-01-25 22:43:58+00:00,,,Component:RTL|IP:alert_handler,False,0,3,0,1812,1,False
29169,[gitignore] .venv not in .gitignore,closed,2026-01-25 19:26:08+00:00,2026-02-02 14:55:03+00:00,7.0,,False,0,2,0,378,0,False
29164,[component] Request for Verified Docker Image & Discussion Channel - Persistent Bazel Build/Test Failures for OpenTitan Simulations,closed,2026-01-22 10:04:50+00:00,2026-01-28 12:04:19+00:00,6.0,,False,0,4,0,12711,1,False
29143,[util] Removal of python3-urllib3 prevents util/get-toolchain.py from working,closed,2026-01-16 16:48:13+00:00,2026-02-09 16:01:36+00:00,23.0,,False,0,2,0,1856,0,False
29139,[otbn] Expose the `INSN_CNT` register to OTBN apps,open,2026-01-16 11:10:54+00:00,,,IP:otbn,False,0,1,6,615,0,False
29133,[bazel] Missing configurations when building FPGA bitstream from scratch,open,2026-01-15 18:32:40+00:00,,,,False,0,0,0,249,0,False
29132,[ci] CI runs do not use a Python venv,open,2026-01-15 18:20:56+00:00,,,Type:Enhancement|Component:CI,False,0,0,0,375,0,False
29131,[python] `uv sync` fails using a Python 3.14 interpreter,open,2026-01-15 18:10:18+00:00,,,Component:Software|Type:Bug,True,0,0,0,1403,3,True
29123,[sival] `usb_functest` broken on `cw3*0_rom_with_fake_keys` envs,closed,2026-01-15 12:28:29+00:00,2026-01-16 17:08:39+00:00,1.0,IP:usbdev|Component:SiliconValidation,False,0,1,1,1076,3,False
29102,[test] Versions of Verilator >= 5.0 require --timing or --no-timing options for top level sim builds,open,2026-01-13 17:33:25+00:00,,,,False,0,2,0,641,0,False
29059,[ECC] How could I use secded_gen.py script only?,open,2026-01-09 07:03:35+00:00,,,,False,0,0,0,191,0,False
29055,[sival] `sleep_pin_wake` test should cover all pins in one run,open,2026-01-08 15:51:09+00:00,,,Component:SiliconValidation,False,0,0,0,261,2,False
29028,"[chip-test] Failing UART Tests due to configuring UART1 pins from IOB4,B5 pins to IOA0,A1 pins",open,2026-01-05 23:00:40+00:00,,,Component:ChipLevelTest,False,0,2,1,1380,1,False
29026,"[otbn, dv] Modelling SW errors during delayed escalation",open,2026-01-05 14:21:13+00:00,,,Component:DV|IP:otbn,True,0,0,0,7399,2,False
29011,"[ottf, spi console] Change spi buffer last read addr contraint to open ended",closed,2025-12-30 20:21:24+00:00,2026-01-06 15:10:19+00:00,6.0,,False,0,0,1,418,1,False
29010,[ottf] Remove prints during ATE provisioning,closed,2025-12-30 20:10:45+00:00,2026-01-06 15:10:46+00:00,6.0,,False,0,0,1,324,0,False
29007,"[earlgrey,otp,bazel] OTP build fails with ""invalid OTP address"" after modifying top_earlgrey",open,2025-12-27 11:12:38+00:00,,,,False,0,1,0,1279,1,False
28999,"[adc_ctrl,dv] adc_ctrl_clock_gating_vseq sometimes fails because we don't respond to alert pings when the clock is turned off",open,2025-12-23 22:18:08+00:00,,,,False,0,1,0,538,1,False
28994,[pentest] Add registers to clobber list in assembly snippets,open,2025-12-23 14:45:43+00:00,,,,False,0,1,2,271,0,False
28985,[test] fix `usbdev_deep_disconnect_test` flakiness on cw310,open,2025-12-22 21:26:40+00:00,,,,False,0,0,0,893,0,False
28977,"[silicon_creator,dice] Create a unittest for the CBOR parser",open,2025-12-19 08:39:45+00:00,,,,False,0,1,0,538,0,False
28971,[silicon_creator] Make parallel ECDSA/SPX test use more bazel rules instead of checked-in binaries,open,2025-12-18 12:48:53+00:00,,,,False,0,0,0,1025,0,False
28970,"[manuf,ast] Move top-specific handling to a manufacturing hook",open,2025-12-18 12:45:10+00:00,,,,False,0,0,0,405,0,False
28969,[power virus] Implement flushing logic,open,2025-12-18 12:42:23+00:00,,,,False,0,0,0,561,0,False
28968,[flash_ctrl] ICV failure on single bit flipped erased words with scrambling,open,2025-12-18 11:22:40+00:00,,,Component:RTL|IP:flash_ctrl,False,0,7,1,972,2,False
28964,"[sw,cryptolib] Harden the Ed25519 implementation",closed,2025-12-17 16:36:06+00:00,2026-04-30 08:45:54+00:00,133.0,SW:cryptolib,False,0,1,1,160,0,False
28930,[top_darjeeling] Is there synthesis sdc for top_darjeeling?,open,2025-12-15 05:50:38+00:00,,,Component:Darjeeling,False,0,0,0,164,0,False
28913,[aes] Todos following upstreaming of support for GCM,open,2025-12-11 11:02:32+00:00,,,Type:Task|Component:RTL|IP:aes,False,0,0,1,2072,1,False
28903,[top_darjeeling] RACL deisgn rationale and deployment,closed,2025-12-10 07:43:44+00:00,2025-12-16 00:22:32+00:00,5.0,Component:Darjeeling,False,0,0,0,1203,0,False
28902,"[qemu, test] coremark qemu test failed",closed,2025-12-10 02:38:46+00:00,2025-12-12 04:29:46+00:00,2.0,,False,0,4,0,190,1,False
28895,"[opentitanlib,qemu] Add support for transfers in the USB opentitanlib backend",open,2025-12-08 15:24:43+00:00,,,,False,0,0,1,464,0,False
28890,[qemu] QEMU's `sram_ctrl `does not connect the lifecycle controller `HW_DEBUG_EN` feature,closed,2025-12-08 10:32:14+00:00,2025-12-10 16:24:38+00:00,2.0,Component:QEMU,False,0,1,1,422,0,False
28889,[qemu] QEMU OTP timing modelling fixes,closed,2025-12-08 10:28:13+00:00,2025-12-10 16:25:39+00:00,2.0,Component:QEMU,False,0,1,1,872,0,False
28888,"[otbn,dv] sec_cm test fails due to undefined loop address information",closed,2025-12-08 09:31:56+00:00,2026-01-06 19:15:44+00:00,29.0,Component:DV|IP:otbn,True,0,5,0,935,2,False
28886,Orchestrator python argument parsing uses redundant options,open,2025-12-05 14:04:43+00:00,,,,False,0,0,0,591,0,False
28884,[qemu] OpenTitanTool fails to reconnect to QEMU,closed,2025-12-05 11:29:23+00:00,2025-12-17 10:19:14+00:00,11.0,Component:QEMU,False,0,1,1,554,1,False
28883,"[manuf,qemu] Provisioning flow assumes non-provisioned flash is initialized zeroed/set",open,2025-12-05 11:22:13+00:00,,,Component:QEMU,False,0,1,1,1357,0,False
28871,"[sw,silicon_creator] Add a ROM GPIO driver",closed,2025-12-04 11:37:11+00:00,2025-12-08 09:27:21+00:00,3.0,,False,0,0,1,149,0,False
28868,[top_darjeeling] Is there a bazel BUILD config to build rom for Darjeeling?,open,2025-12-04 06:42:57+00:00,,,Component:Darjeeling,False,0,1,0,172,0,False
28845,[qemu] Flaky duplicated byte in SPI transfers,closed,2025-12-01 10:34:00+00:00,2025-12-05 11:38:20+00:00,4.0,Component:QEMU,False,0,2,1,729,0,False
28844,[qemu] Fix reset assertion failures when using the RV_DM,closed,2025-11-28 16:28:06+00:00,2025-12-05 11:36:56+00:00,6.0,Component:QEMU,False,0,2,1,453,1,False
28827,[chip-test] USB tests failing,closed,2025-11-26 11:12:17+00:00,2025-11-26 17:37:13+00:00,0.0,Component:ChipLevelTest,False,0,1,1,1311,1,False
28819,"[csrng, entropy_src] Consider removing the CS AES halt interface",closed,2025-11-25 09:29:08+00:00,2025-12-05 10:02:25+00:00,10.0,IP:csrng,False,0,3,2,1273,0,False
28818,"[hw,entropy_src,dv] UVM TB forces signals/paths of prim_flop_2sync-internal signals",open,2025-11-24 19:01:03+00:00,,,Component:DV|IP:entropy_src,True,0,0,0,1346,1,False
28817,Failing Crypto tests  due to CRC Error,closed,2025-11-24 17:52:32+00:00,2026-02-02 17:47:00+00:00,69.0,Component:ChipLevelTest,False,0,14,2,2181,2,False
28816,[cryptolib] Cryptolib cannot operate on DICE attestation keys,closed,2025-11-24 17:40:58+00:00,2026-05-04 08:34:10+00:00,160.0,Type:Enhancement|SW:cryptolib,False,0,4,1,909,0,False
28814,"[alert,dv] Model variable signal skew in chip-level testbench",open,2025-11-24 10:26:30+00:00,,,Component:DV|IP:prim,True,0,0,0,916,1,False
28806,"[doc, spi_device] Document limitations/feature usage",open,2025-11-21 17:26:28+00:00,,,Component:Doc|IP:spi_device,False,0,2,1,3322,0,False
28802,[rom_ctrl] ROM verification does not make use ECC bits,open,2025-11-21 13:49:02+00:00,,,IP:rom_ctrl,False,0,3,0,2122,0,False
28800,[dvsim] Modernise Python code,closed,2025-11-21 10:41:51+00:00,2025-12-23 13:05:08+00:00,32.0,,False,0,3,3,641,0,False
28788,[RFC] OTTF / test harness binary protocol,open,2025-11-20 11:35:55+00:00,,,RFC:Proposal|SW:OTTF,False,0,9,0,5738,0,False
28772,"[hw,otp_ctrl,dv] Dedicated partition status register to increase number of partitions",open,2025-11-18 14:42:40+00:00,,,,False,0,2,2,411,0,False
28765,[CI] Fix the FPGA nightly report upload,closed,2025-11-17 12:23:57+00:00,2025-12-02 14:42:34+00:00,15.0,,False,0,1,2,154,0,False
28753,[crypto] Do `memeq` in `randomized_bytecopy`,closed,2025-11-14 15:39:34+00:00,2025-11-25 10:27:56+00:00,10.0,SW:cryptolib,False,0,0,1,175,0,False
28749,Why does prim_onehot_check exist?,closed,2025-11-14 11:50:08+00:00,2025-12-23 13:13:36+00:00,39.0,,False,0,4,0,66,0,False
28738,[qemu] SPI console TX indicator host-side pacing,closed,2025-11-13 13:16:55+00:00,2025-11-28 16:47:26+00:00,15.0,SW:opentitantool|Component:QEMU,False,0,2,1,1573,0,False
28737,[qemu] Emulation of Power-on-Reset,closed,2025-11-13 13:10:18+00:00,2025-11-27 14:51:03+00:00,14.0,Component:QEMU,False,0,1,1,1397,0,False
28736,[qemu] SPI Device fixes for provisioning,closed,2025-11-13 12:45:37+00:00,2025-11-18 14:59:22+00:00,5.0,Component:QEMU,False,0,2,1,901,0,False
28735,"[qemu,ottf] SPI console with TX indicator relies on CSB status",closed,2025-11-13 12:36:21+00:00,2025-11-19 13:10:53+00:00,6.0,Component:QEMU,False,0,1,1,1106,0,False
28732,[qemu] Opentitanlib GPIO integration for incoming GPIO signals,closed,2025-11-13 11:55:19+00:00,2025-11-18 10:51:10+00:00,4.0,Component:QEMU,False,0,1,1,484,0,False
28730,[qemu] Earlgrey 1.0.0 usb: emulate SOF and packet scheduling,closed,2025-11-13 10:24:06+00:00,2025-12-02 16:41:01+00:00,19.0,,False,0,0,1,905,0,False
28729,[qemu] Earlgrey 1.0.0 usb: improve bus reset handling,closed,2025-11-13 10:17:57+00:00,2025-11-17 14:56:23+00:00,4.0,,False,0,0,1,482,0,False
28728,Include rv_plic dif header in rom code for test,closed,2025-11-13 03:44:03+00:00,2025-11-13 03:50:31+00:00,0.0,,False,0,1,0,1372,0,False
28721,[rv_plic] PLIC claim/complete register off-by-one?,closed,2025-11-12 12:56:12+00:00,2025-11-17 16:55:57+00:00,5.0,,False,0,1,0,1006,0,False
28712,[qemu] Fix unreliable RV_DM halt on reset behaviour,closed,2025-11-11 15:23:46+00:00,2025-11-28 16:46:20+00:00,17.0,Component:QEMU,False,0,2,1,2073,0,False
28711,[qemu] Add QEMU support to the orchestrator,open,2025-11-11 15:12:16+00:00,,,Component:QEMU,False,0,0,1,294,0,False
28710,[qemu] QEMU provisioning flow Bazel support,open,2025-11-11 15:10:07+00:00,,,Component:QEMU,False,0,0,1,634,0,False
28709,[qemu] Allow execution of QEMU outside of OpenTitan tests.,closed,2025-11-11 15:08:16+00:00,2025-12-05 10:39:44+00:00,23.0,Component:QEMU,False,0,2,1,399,0,False
28708,[qemu] Broken SRAM execution flow,closed,2025-11-11 15:00:34+00:00,2025-11-18 15:02:16+00:00,7.0,Component:QEMU,False,0,1,1,745,1,False
28703,[top_earlgrey] Failure to enter RMA when OTBN fatal alert escalation is enabled,closed,2025-11-11 01:04:56+00:00,2025-11-17 01:47:53+00:00,6.0,,False,0,9,2,1823,1,False
28701,"[silicon_creator,ast] Multi-top Conversion",open,2025-11-10 17:18:12+00:00,,,,False,0,0,0,0,0,False
28696,"Various Verilator errors when building (PINMISSING, NEEDTIMINGOPT)",open,2025-11-10 09:37:24+00:00,,,,False,0,2,0,7304,1,False
28674,[crypto] Fix remaining failing RSA decrypt tests,closed,2025-11-07 13:11:38+00:00,2025-11-07 14:54:41+00:00,0.0,SW:cryptolib,False,0,0,1,169,1,False
28669,[crypto] Verify that cryptolib testing follows FIPS recommendation,open,2025-11-07 07:11:27+00:00,,,SW:cryptolib|FIPS,False,0,0,1,199,0,False
28666,Cryptolib reads the `mcycle` register,closed,2025-11-06 16:36:34+00:00,2026-03-23 06:44:40+00:00,136.0,SW:cryptolib,False,0,1,2,747,0,False
28665,[qemu] Earlgrey 1.0.0 flash info splicing,open,2025-11-06 15:58:17+00:00,,,SW:Build System|Component:QEMU,False,0,0,0,1288,0,False
28657,"[otbn,dv] Collecting coverage fails for various tests",closed,2025-11-05 15:54:21+00:00,2025-11-13 13:18:36+00:00,7.0,,False,0,4,1,1563,1,False
28656,[crypto] Fix remaining RSA verify tests,closed,2025-11-05 15:12:47+00:00,2025-12-04 08:43:54+00:00,28.0,SW:cryptolib,False,0,3,1,319,0,False
28650,[tests] uart_parity_break and uart_tx_rx_test require two UARTs,open,2025-11-05 13:38:52+00:00,,,,False,0,0,0,335,0,False
28645,[cryptolib] Deduplicate the `ibex` driver,open,2025-11-04 16:38:17+00:00,,,,False,0,3,1,1302,0,False
